pmcid	doi	journal	year	version	exposure_groups	commands	features	title
PMC12146774	10.1073/pnas.2418176122	PNAS	2025		roi_morphometry;surface_recon		brain extraction/skullstrip;cortical thickness;parcellation (aparc/atlas)	Longitudinal associations between birth-to-six cortical growth and childhood neurocognitive function.
PMC12088441	10.1073/pnas.2503569122	PNAS	2025					Early development of navigationally relevant location information in the retrosplenial complex.
PMC12067213	10.1073/pnas.2412243122	PNAS	2025		roi_morphometry		manual edits/QC;parcellation (aparc/atlas)	A hierarchy of processing complexity and timescales for natural sounds in the human auditory cortex.
PMC12012540	10.1073/pnas.2413871122	PNAS	2025	6.0.1	registration_sampling	bbregister;mri_vol2surf;recon-all	boundary-based registration;brain extraction/skullstrip;surface-based registration	The Beholder's Share: Bridging art and neuroscience to study individual differences in subjective experience.
PMC12002251	10.1073/pnas.2406684122	PNAS	2025				functional preprocessing (FS-FAST)	Expectation-dependent stimulus selectivity in the ventral visual cortical pathway.
PMC12002349	10.1073/pnas.2423785122	PNAS	2025	5.3.0	roi_morphometry;surface_recon		cortical thickness;parcellation (aparc/atlas)	Neural basis for individual differences in the attention-enhancing effects of methylphenidate.
PMC11929402	10.1073/pnas.2415508122	PNAS	2025		roi_morphometry		functional preprocessing (FS-FAST);parcellation (aparc/atlas)	Brain-wide dynamic coactivation states code for hand movements in the resting state.
PMC11912385	10.1073/pnas.2413442122	PNAS	2025		roi_morphometry;surface_recon	recon-all	brain extraction/skullstrip;cortical thickness	Deep learning to quantify the pace of brain aging in relation to neurocognitive changes.
PMC11873822	10.1073/pnas.2411098122	PNAS	2025	6.0.0	registration_sampling;roi_morphometry		parcellation (aparc/atlas);surface-based registration	Temporal autocorrelation is predictive of age-An extensive MEG time-series analysis.
PMC11760929	10.1073/pnas.2422083122	PNAS	2025		roi_morphometry		parcellation (aparc/atlas)	Specialization of the human hippocampal long axis revisited.
PMC11761675	10.1073/pnas.2421585122	PNAS	2025		registration_sampling;roi_morphometry;surface_recon		parcellation (aparc/atlas);surface area;surface reconstruction;surface-based registration	Expansion of a conserved architecture drives the evolution of the primate visual cortex.
PMC11725837	10.1073/pnas.2415102122	PNAS	2025		registration_sampling;roi_morphometry		parcellation (aparc/atlas);surface-based registration	Human brain dynamics are shaped by rare long-range connections over and above cortical geometry.
PMC11725871	10.1073/pnas.2410341121	PNAS	2025		roi_morphometry		parcellation (aparc/atlas)	A detailed spatiotemporal atlas of the white matter tracts for the fetal brain.
PMC11670218	10.1073/pnas.2405395121	PNAS	2024		aseg_volumes		subcortical segmentation (aseg)	Breathing orchestrates synchronization of sleep oscillations in the human hippocampus.
PMC11665852	10.1073/pnas.2408871121	PNAS	2024					Intracortical recordings reveal the neuronal selectivity for bodies and body parts in the human visual cortex.
PMC11648923	10.1073/pnas.2410445121	PNAS	2024		registration_sampling	recon-all	boundary-based registration	Sculpting new visual categories into the human brain.
PMC11573628	10.1073/pnas.2409345121	PNAS	2024		aseg_volumes	recon-all	brain extraction/skullstrip;manual edits/QC;subcortical segmentation (aseg)	Secondary thalamic dysfunction underlies abnormal large-scale neural dynamics in chronic stroke.
PMC11494299	10.1073/pnas.2320805121	PNAS	2024	5.3.0	aseg_volumes;roi_morphometry;surface_recon	tksurfer	cortical thickness;cortical volume;parcellation (aparc/atlas);subcortical segmentation (aseg)	Adolescent alcohol consumption predicted by differences in electrophysiological functional connectivity and neuroanatomy.
PMC11459139	10.1073/pnas.2405929121	PNAS	2024					Repetition dynamically and rapidly increases cortical, but not hippocampal, offline reactivation.
PMC11420155	10.1073/pnas.2403200121	PNAS	2024		roi_morphometry;surface_recon	recon-all	cortical thickness;cortical volume;parcellation (aparc/atlas)	COVID-19 lockdown effects on adolescent brain structure suggest accelerated maturation that is more pronounced in females than in males.
PMC11406239	10.1073/pnas.2321965121	PNAS	2024		hipposf;roi_morphometry;surface_recon		hippocampal subfields;manual edits/QC;parcellation (aparc/atlas);surface reconstruction	Depressive symptoms during the transition to adolescence: Left hippocampal volume as a marker of social context sensitivity.
PMC11331068	10.1073/pnas.2314074121	PNAS	2024	5.3.0	aseg_volumes;roi_morphometry;surface_recon	recon-all	brain extraction/skullstrip;cortical thickness;cortical volume;myelin/T1w-T2w ratio;parcellation (aparc/atlas);subcortical segmentation (aseg);surface area;surface reconstruction	Human adolescent brain similarity development is different for paralimbic versus neocortical zones.
PMC11295051	10.1073/pnas.2403212121	PNAS	2024		aseg_volumes;roi_morphometry;surface_recon		cortical thickness;cortical volume;subcortical segmentation (aseg)	Sex and mental health are related to subcortical brain microstructure.
PMC11295073	10.1073/pnas.2322869121	PNAS	2024					Beta and theta oscillations track effort and previous reward in the human basal ganglia and prefrontal cortex during decision making.
PMC11252731	10.1073/pnas.2321346121	PNAS	2024	7.1.1	registration_sampling;roi_morphometry;surface_recon	bbregister;recon-all	boundary-based registration;parcellation (aparc/atlas);surface reconstruction;surface-based registration	A familiar face and person processing area in the human temporal pole.
PMC11252739	10.1073/pnas.2317458121	PNAS	2024		roi_morphometry		parcellation (aparc/atlas)	Hemispheric functional organization, as revealed by naturalistic neuroimaging, in pediatric epilepsy patients with cortical resections.
PMC11087753	10.1073/pnas.2313568121	PNAS	2024	7.3.0	roi_morphometry;surface_recon	recon-all	TRACULA (diffusion);brain extraction/skullstrip;cortical thickness;functional preprocessing (FS-FAST);parcellation (aparc/atlas)	Impact of repeated blast exposure on active-duty United States Special Operations Forces.
PMC11032474	10.1073/pnas.2304704121	PNAS	2024		aseg_volumes;roi_morphometry;surface_recon		cortical thickness;cortical volume;parcellation (aparc/atlas);subcortical segmentation (aseg)	Childhood maltreatment influences adult brain structure through its effects on immune, metabolic, and psychosocial factors.
PMC10998564	10.1073/pnas.2318528121	PNAS	2024		roi_morphometry;surface_recon		manual edits/QC;parcellation (aparc/atlas);surface reconstruction	Causal functional maps of brain rhythms in working memory.
PMC10962966	10.1073/pnas.2315758121	PNAS	2024	6.0.0	roi_morphometry		parcellation (aparc/atlas)	Changes in spatial self-consciousness elicit grid cell-like representation in the entorhinal cortex.
PMC10962978	10.1073/pnas.2309232121	PNAS	2024		registration_sampling;roi_morphometry	mri_vol2surf	boundary-based registration;brain extraction/skullstrip;parcellation (aparc/atlas)	The dorsomedial prefrontal cortex prioritizes social learning during rest.
PMC10945835	10.1073/pnas.2310044121	PNAS	2024	7.1.1	group_glm;hipposf;roi_morphometry;surface_recon	recon-all	cortical thickness;group GLM (mri_glmfit);hippocampal subfields;manual edits/QC;parcellation (aparc/atlas);surface area;surface reconstruction	Insights into hippocampal perfusion using high-resolution, multi-modal 7T MRI.
PMC10945772	10.1073/pnas.2310766121	PNAS	2024		registration_sampling;roi_morphometry	bbregister	boundary-based registration;manual edits/QC;parcellation (aparc/atlas)	Diverging neural dynamics for syntactic structure building in naturalistic speaking and listening.
PMC10907247	10.1073/pnas.2313831121	PNAS	2024		roi_morphometry;surface_recon		parcellation (aparc/atlas);surface reconstruction	Evolutionary continuity and divergence of auditory dorsal and ventral pathways in primates revealed by ultra-high field diffusion MRI.
PMC10756194	10.1073/pnas.2314596120	PNAS	2023		group_glm		group GLM (mri_glmfit)	Examining the role of dopamine in methylphenidate's effects on resting brain function.
PMC10710032	10.1073/pnas.2309166120	PNAS	2023		registration_sampling;roi_morphometry		parcellation (aparc/atlas);surface-based registration	Neural tracking measures of speech intelligibility: Manipulating intelligibility while keeping acoustics unchanged.
PMC10589642	10.1073/pnas.2306990120	PNAS	2023	6.0.0	roi_morphometry;surface_recon		cortical thickness;parcellation (aparc/atlas)	Hemispheric asymmetry in cortical thinning reflects intrinsic organization of the neurotransmitter systems and homotopic functional connectivity.
PMC10589709	10.1073/pnas.2219666120	PNAS	2023		roi_morphometry		parcellation (aparc/atlas)	Whole-brain, gray, and white matter time-locked functional signal changes with simple tasks and model-free analysis.
PMC10589651	10.1073/pnas.2300255120	PNAS	2023		roi_morphometry		parcellation (aparc/atlas)	Distributed feedforward and feedback cortical processing supports human speech production.
PMC10589615	10.1073/pnas.2216942120	PNAS	2023					Different roles of response covariability and its attentional modulation in the sensory cortex and posterior parietal cortex.
PMC10410728	10.1073/pnas.2221122120	PNAS	2023				functional preprocessing (FS-FAST)	Functional modules for visual scene segmentation in macaque visual cortex.
PMC10334727	10.1073/pnas.2220523120	PNAS	2023	5.3.0				Subspace partitioning in the human prefrontal cortex resolves cognitive interference.
PMC10293846	10.1073/pnas.2212910120	PNAS	2023	6.0.0	registration_sampling	bbregister	boundary-based registration	Brain-to-brain mechanisms underlying pain empathy and social modulation of pain in the patient-clinician interaction.
PMC10235977	10.1073/pnas.2218565120	PNAS	2023					Human and chimpanzee shared and divergent neurobiological systems for general and specific cognitive brain functions.
PMC10193926	10.1073/pnas.2218782120	PNAS	2023		roi_morphometry;surface_recon		cortical thickness;cortical volume;parcellation (aparc/atlas);surface area	Country-level gender inequality is associated with structural differences in the brains of women and men.
PMC10151604	10.1073/pnas.2300252120	PNAS	2023		roi_morphometry;surface_recon		parcellation (aparc/atlas);surface reconstruction	Spatiotemporally distributed frontotemporal networks for sentence reading.
PMC10119997	10.1073/pnas.2222069120	PNAS	2023	5.2				Heterogeneity of depression across the socioeconomic spectrum.
PMC10083554	10.1073/pnas.2213880120	PNAS	2023		aseg_volumes;group_glm;roi_morphometry;surface_recon	recon-all	cortical thickness;cortical volume;group GLM (mri_glmfit);manual edits/QC;parcellation (aparc/atlas);subcortical segmentation (aseg);surface area;surface reconstruction	Large-scale analysis of structural brain asymmetries in schizophrenia via the ENIGMA consortium.
PMC10068819	10.1073/pnas.2120288120	PNAS	2023	6.0.1	registration_sampling;roi_morphometry	bbregister;mri_robust_template;mri_vol2surf;recon-all	boundary-based registration;brain extraction/skullstrip;parcellation (aparc/atlas)	Identifying causal subsequent memory effects.
PMC10068756	10.1073/pnas.2218949120	PNAS	2023		group_glm;registration_sampling;roi_morphometry		brain extraction/skullstrip;group GLM (mri_glmfit);parcellation (aparc/atlas);surface-based registration	Human brain effects of DMT assessed via EEG-fMRI.
PMC10089159	10.1073/pnas.2207831120	PNAS	2023		roi_morphometry		parcellation (aparc/atlas)	Propofol disrupts alpha dynamics in functionally distinct thalamocortical networks during loss of consciousness.
PMC10089183	10.1073/pnas.2214834120	PNAS	2023	5.3	roi_morphometry;surface_recon	recon-all	cortical thickness;cortical volume;parcellation (aparc/atlas);surface area;surface reconstruction	Larger cerebral cortex is genetically correlated with greater frontal area and dorsal thickness.
PMC10013745	10.1073/pnas.2219635120	PNAS	2023		roi_morphometry	mri_surf2surf;mri_surf2vol;recon-all	parcellation (aparc/atlas)	Transcranial magnetic stimulation to frontal but not occipital cortex disrupts endogenous attention.
PMC9992854	10.1073/pnas.2216399120	PNAS	2023	1.38	roi_morphometry;surface_recon	SynthSeg	cortical thickness;parcellation (aparc/atlas)	Robust machine learning segmentation for large-scale analysis of heterogeneous clinical brain MRI datasets.
PMC9992778	10.1073/pnas.2215192120	PNAS	2023		hipposf		hippocampal subfields	Elevated dementia risk, cognitive decline, and hippocampal atrophy in multisite chronic pain.
PMC9963327	10.1073/pnas.2215423120	PNAS	2023		roi_morphometry;surface_recon	recon-all	brain extraction/skullstrip;cortical thickness;cortical volume;parcellation (aparc/atlas);surface area;surface reconstruction	Restricted language access during childhood affects adult brain structure in selective language regions.
PMC9963219	10.1073/pnas.2212256120	PNAS	2023	5.3	roi_morphometry		brain extraction/skullstrip;parcellation (aparc/atlas)	Brain aerobic glycolysis and resilience in Alzheimer disease.
PMC9926270	10.1073/pnas.2214634120	PNAS	2023	4.3	registration_sampling;roi_morphometry;surface_recon	recon-all	brain extraction/skullstrip;cortical thickness;surface-based registration	Anatomically interpretable deep learning of brain age captures domain-specific cognitive impairment.
PMC9636913	10.1073/pnas.2123430119	PNAS	2022		roi_morphometry		parcellation (aparc/atlas)	Electrophysiological markers of memory consolidation in the human brain when memories are reactivated during sleep.
PMC9618092	10.1073/pnas.2206083119	PNAS	2022	5.0.3	roi_morphometry;surface_recon		cortical thickness	Metabolome-wide association study on &lt;i&gt;ABCA7&lt;/i&gt; indicates a role of ceramide metabolism in Alzheimer's disease.
PMC9586323	10.1073/pnas.2205162119	PNAS	2022		surface_recon	recon-all	surface reconstruction	Morphological similarity of amygdala-ventral prefrontal pathways represents trait anxiety in younger and older adults.
PMC9564102	10.1073/pnas.2203039119	PNAS	2022	6.0.1	hipposf;registration_sampling;roi_morphometry		brain extraction/skullstrip;hippocampal subfields;parcellation (aparc/atlas);surface-based registration	Hippocampus and temporal pole functional connectivity is associated with age and individual differences in autobiographical memory.
PMC9564100	10.1073/pnas.2204900119	PNAS	2022	4.5	roi_morphometry		parcellation (aparc/atlas)	Human cerebellum and corticocerebellar connections involved in emotional memory enhancement.
PMC9546597	10.1073/pnas.2200638119	PNAS	2022		roi_morphometry;surface_recon		parcellation (aparc/atlas);surface area	Using neuroimaging genomics to investigate the evolution of human brain structure.
PMC9371745	10.1073/pnas.2201968119	PNAS	2022		roi_morphometry		brain extraction/skullstrip;parcellation (aparc/atlas)	A hierarchy of linguistic predictions during natural language comprehension.
PMC9351497	10.1073/pnas.2201128119	PNAS	2022		registration_sampling;roi_morphometry		parcellation (aparc/atlas);surface-based registration	Deep neural networks constrained by neural mass models improve electrophysiological source imaging of spatiotemporal brain dynamics.
PMC9271154	10.1073/pnas.2116673119	PNAS	2022		registration_sampling;roi_morphometry;surface_recon		boundary-based registration;brain extraction/skullstrip;cortical thickness;manual edits/QC;parcellation (aparc/atlas);surface reconstruction	Adolescent development of multiscale structural wiring and functional interactions in the human connectome.
PMC9191681	10.1073/pnas.2204433119	PNAS	2022		registration_sampling;roi_morphometry;surface_recon	mri_label2label;mri_segstats	cortical thickness;parcellation (aparc/atlas);surface-based registration	Multiscale neural signatures of major depressive, anxiety, and stress-related disorders.
PMC9173759	10.1073/pnas.2113778119	PNAS	2022	6.0	hipposf		hippocampal subfields	Diffusion MRI-guided theta burst stimulation enhances memory and functional connectivity along the inferior longitudinal fasciculus in mild cognitive 
PMC9169932	10.1073/pnas.2120439119	PNAS	2022			recon-all		The effect of prolonged spaceflight on cerebrospinal fluid and perivascular spaces of astronauts and cosmonauts.
PMC8670431	10.1073/pnas.2101403118	PNAS	2021		registration_sampling;roi_morphometry	bbregister	boundary-based registration;brain extraction/skullstrip;parcellation (aparc/atlas)	Temporal self-compression: Behavioral and neural evidence that past and future selves are compressed as they move away from the present.
PMC8617418	10.1073/pnas.2113095118	PNAS	2021	6.0	group_glm;registration_sampling;roi_morphometry;surface_recon	mri_surf2vol;recon-all	cortical thickness;group GLM (mri_glmfit);parcellation (aparc/atlas);surface area;surface reconstruction;surface-based registration	Handedness and its genetic influences are associated with structural asymmetries of the cerebral cortex in 31,864 individuals.
PMC8609633	10.1073/pnas.2108713118	PNAS	2021	7.1	registration_sampling;surface_recon	bbregister;mri_vol2surf;recon-all	boundary-based registration;brain extraction/skullstrip;surface reconstruction	Divisive normalization unifies disparate response signatures throughout the human visual hierarchy.
PMC8403906	10.1073/pnas.2101743118	PNAS	2021	5.3	roi_morphometry		manual edits/QC;parcellation (aparc/atlas)	Parallel hippocampal-parietal circuits for self- and goal-oriented processing.
PMC8285909	10.1073/pnas.2024448118	PNAS	2021		registration_sampling;roi_morphometry		boundary-based registration;brain extraction/skullstrip;parcellation (aparc/atlas);surface-based registration	Shifting gradients of macroscale cortical organization mark the transition from childhood to adolescence.
PMC8307613	10.1073/pnas.2100522118	PNAS	2021		registration_sampling;roi_morphometry;surface_recon	mri_vol2surf;recon-all	parcellation (aparc/atlas);surface reconstruction;surface-based registration	Altered sense of self during seizures in the posteromedial cortex.
PMC8106299	10.1073/pnas.2101644118	PNAS	2021	7.1	group_glm;roi_morphometry;surface_recon		cortical volume;group GLM (mri_glmfit);surface area	Educational attainment does not influence brain aging.
PMC7936334	10.1073/pnas.2016271118	PNAS	2021		registration_sampling;roi_morphometry;surface_recon	mris_anatomical_stats	parcellation (aparc/atlas);surface area;surface-based registration	Heritability of individualized cortical network topography.
PMC8000197	10.1073/pnas.2023069118	PNAS	2021	6.0			manual edits/QC	Evidence supporting a time-limited hippocampal role in retrieving autobiographical memories.
PMC7958181	10.1073/pnas.2021238118	PNAS	2021					Volitional learning promotes theta phase coding in the human hippocampus.
PMC7896322	10.1073/pnas.2003926118	PNAS	2021					Hormone seasonality in medical records suggests circannual endocrine circuits.
PMC7826388	10.1073/pnas.2010211118	PNAS	2021	5.3	roi_morphometry;surface_recon		cortical thickness;surface area	Childhood self-control forecasts the pace of midlife aging and preparedness for old age.
PMC7812773	10.1073/pnas.2017032118	PNAS	2021		hipposf;roi_morphometry		hippocampal subfields;parcellation (aparc/atlas)	Topographic connectivity reveals task-dependent retinotopic processing throughout the human brain.
PMC12834599	10.1016/j.cell.2025.11.039	Cell	2025		aseg_volumes;group_glm;roi_morphometry;surface_recon		cortical volume;group GLM (mri_glmfit);parcellation (aparc/atlas);subcortical segmentation (aseg)	Stimulant medications affect arousal and reward, not attention networks.
