pmid	pmcid	doi	journal	year	title	reason_not_readable
33798436		10.1016/j.cell.2021.01.030	Cell	2021	A uniform format for manuscript submission.	no open full text in Europe PMC
33930299		10.1016/j.cell.2021.03.022	Cell	2021	SnapShot: The microbiota-gut-brain axis.	no open full text in Europe PMC
33831374		10.1016/j.cell.2021.03.019	Cell	2021	The islet's bridesmaid becomes the bride: Proglucagon-derived peptides deliver transformative therapies.	no open full text in Europe PMC
33784496		10.1016/j.cell.2021.03.008	Cell	2021	Genetic requirements for cell division in a genomically minimal cell.	no open full text in Europe PMC
33770502		10.1016/j.cell.2021.02.014	Cell	2021	Whitefly hijacks a plant detoxification gene that neutralizes plant toxins.	no open full text in Europe PMC
33861964		10.1016/j.cell.2021.03.034	Cell	2021	Toward a fine-scale population health monitoring system.	no open full text in Europe PMC
33794144		10.1016/j.cell.2021.02.052	Cell	2021	Elevated rates of horizontal gene transfer in the industrialized human microbiome.	no open full text in Europe PMC
33691137		10.1016/j.cell.2021.02.007	Cell	2021	Adapting the proteostasis capacity to sustain brain healthspan.	no open full text in Europe PMC
33711259		10.1016/j.cell.2021.02.016	Cell	2021	The basic immunology of asthma.	no open full text in Europe PMC
33667348		10.1016/j.cell.2021.02.001	Cell	2021	Conserved pleiotropy of an ancient plant homeobox gene uncovered by cis-regulatory dissection.	no open full text in Europe PMC
33711260		10.1016/j.cell.2021.02.027	Cell	2021	Follicular regulatory T cells produce neuritin to regulate B cells.	no open full text in Europe PMC
33740457		10.1016/j.cell.2021.02.024	Cell	2021	SnapShot: Tumor evolution.	no open full text in Europe PMC
33740451		10.1016/j.cell.2021.02.031	Cell	2021	The multifaceted roles of breast milk antibodies.	no open full text in Europe PMC
33740445		10.1016/j.cell.2021.02.038	Cell	2021	Scientific impact in a changing world.	no open full text in Europe PMC
33740453		10.1016/j.cell.2021.02.036	Cell	2021	Heritable human genome editing: Research progress, ethical considerations, and hurdles to clinical practice.	no open full text in Europe PMC
33740441		10.1016/j.cell.2021.02.043	Cell	2021	Insects in the age of extinction.	no open full text in Europe PMC
33740450		10.1016/j.cell.2021.02.051	Cell	2021	The ethical scientist in a time of uncertainty.	no open full text in Europe PMC
33639085		10.1016/j.cell.2021.01.052	Cell	2021	Biofuels for a sustainable future.	no open full text in Europe PMC
33740448		10.1016/j.cell.2021.02.006	Cell	2021	Opportunities and challenges in assessing climate change vulnerability through genomics.	no open full text in Europe PMC
33626330		10.1016/j.cell.2021.01.036	Cell	2021	Structures of HCMV Trimer reveal the basis for receptor recognition and cell entry.	no open full text in Europe PMC
33740455		10.1016/j.cell.2021.02.013	Cell	2021	Antivirals with common targets against highly pathogenic viruses.	no open full text in Europe PMC
33740449		10.1016/j.cell.2021.01.055	Cell	2021	The seven domains of action for a sustainable ocean.	no open full text in Europe PMC
33667364		10.1016/j.cell.2021.01.054	Cell	2021	Kathryn Anderson (1952-2020).	no open full text in Europe PMC
33626331		10.1016/j.cell.2021.01.048	Cell	2021	RNA polymerase III is required for the repair of DNA double-strand breaks by homologous recombination.	no open full text in Europe PMC
33545088		10.1016/j.cell.2021.01.046	Cell	2021	Tracing the genetic footprints of vertebrate landing in non-teleost ray-finned fishes.	no open full text in Europe PMC
33581057		10.1016/j.cell.2021.01.005	Cell	2021	Genome engineering for crop improvement and future agriculture.	no open full text in Europe PMC
33545087		10.1016/j.cell.2021.01.047	Cell	2021	African lungfish genome sheds light on the vertebrate water-to-land transition.	no open full text in Europe PMC
33545034		10.1016/j.cell.2020.12.034	Cell	2021	NMR spectroscopy captures the essential role of dynamics in regulating biomolecular function.	no open full text in Europe PMC
33606981		10.1016/j.cell.2021.01.031	Cell	2021	Still we rise.	no open full text in Europe PMC
33539780		10.1016/j.cell.2021.01.014	Cell	2021	Recording of elapsed time and temporal information about biological events using Cas9.	no open full text in Europe PMC
33606982		10.1016/j.cell.2021.01.032	Cell	2021	Transforming myself and academia for good.	no open full text in Europe PMC
33545089		10.1016/j.cell.2021.01.003	Cell	2021	Latent developmental potential to form limb-like skeletal structures in zebrafish.	no open full text in Europe PMC
33508230		10.1016/j.cell.2021.01.001	Cell	2021	3D Genome of macaque fetal brain reveals evolutionary innovations during primate corticogenesis.	no open full text in Europe PMC
33503447		10.1016/j.cell.2021.01.011	Cell	2021	Fund Black scientists.	no open full text in Europe PMC
33539781		10.1016/j.cell.2021.01.013	Cell	2021	A route to de novo domestication of wild allotetraploid rice.	no open full text in Europe PMC
33545035		10.1016/j.cell.2021.01.010	Cell	2021	A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells.	no open full text in Europe PMC
33606977		10.1016/j.cell.2021.01.012	Cell	2021	Massively parallel assessment of human variants with base editor screens.	no open full text in Europe PMC
33545032		10.1016/j.cell.2021.01.006	Cell	2021	"A ""data sharing trust"" model for rapid, collaborative science."	no open full text in Europe PMC
33484631		10.1016/j.cell.2020.12.032	Cell	2021	Changes in genome architecture and transcriptional dynamics progress independently of sensory experience during post-natal brain development.	no open full text in Europe PMC
33482084		10.1016/j.cell.2020.12.026	Cell	2021	Adult neural stem cell activation in mice is regulated by the day/night cycle and intracellular calcium dynamics.	no open full text in Europe PMC
33450204		10.1016/j.cell.2020.12.007	Cell	2021	Food allergy as a biological food quality control system.	no open full text in Europe PMC
33421369		10.1016/j.cell.2020.12.017	Cell	2021	A natural single-guide RNA repurposes Cas9 to autoregulate CRISPR-Cas expression.	no open full text in Europe PMC
33482093		10.1016/j.cell.2020.12.029	Cell	2021	Farnesyltransferase inhibition in HGPS.	no open full text in Europe PMC
33417864		10.1016/j.cell.2020.12.020	Cell	2021	The Rise of Molecular Glues.	no open full text in Europe PMC
33417858		10.1016/j.cell.2020.12.018	Cell	2021	Angelika Amon (1967-2020).	no open full text in Europe PMC
33373586		10.1016/j.cell.2020.11.047	Cell	2021	KCNE1 is an auxiliary subunit of two distinct ion channel superfamilies.	no open full text in Europe PMC
33417862		10.1016/j.cell.2020.12.014	Cell	2021	Top-Down Control of Sweet and Bitter Taste in the Mammalian Brain.	no open full text in Europe PMC
33373587		10.1016/j.cell.2020.11.049	Cell	2021	Structural basis of γ-secretase inhibition and modulation by small molecule drugs.	no open full text in Europe PMC
33333023		10.1016/j.cell.2020.11.043	Cell	2021	Structural basis of human monocarboxylate transporter 1 inhibition by anti-cancer drug candidates.	no open full text in Europe PMC
33357445		10.1016/j.cell.2020.11.041	Cell	2021	Single-cell landscape of the ecosystem in early-relapse hepatocellular carcinoma.	no open full text in Europe PMC
33340459		10.1016/j.cell.2020.11.034	Cell	2021	Hallmarks of Health.	no open full text in Europe PMC
34890577	PMC9103523	10.1016/j.cell.2021.11.019	Cell	2021	A genetically defined insula-brainstem circuit selectively controls motivational vigor.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34879231	PMC8758202	10.1016/j.cell.2021.11.022	Cell	2021	A transcriptional rheostat couples past activity to future sensory responses.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34875227	PMC8900676	10.1016/j.cell.2021.11.018	Cell	2021	Stem-like intestinal Th17 cells give rise to pathogenic effector T cells during autoimmunity.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34861191	PMC8827167	10.1016/j.cell.2021.11.016	Cell	2021	An NK-like CAR T cell transition in CAR T cell dysfunction.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34942099	PMC8722442	10.1016/j.cell.2021.11.025	Cell	2021	Extracellular hyaluronate pressure shaped by cellular tethers drives tissue morphogenesis.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34856126	PMC8671370	10.1016/j.cell.2021.11.012	Cell	2021	Jpx RNA regulates CTCF anchor site selection and formation of chromosome loops.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34942095	PMC9717443	10.1016/j.cell.2021.11.027	Cell	2021	Using virtual interviewing to create a more accessible hybrid academic job market.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34852236	PMC8671355	10.1016/j.cell.2021.11.007	Cell	2021	Neoantigen-driven B cell and CD4 T follicular helper cell collaboration promotes anti-tumor CD8 T cell responses.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34861190	PMC8763037	10.1016/j.cell.2021.11.011	Cell	2021	NLRP3 cages revealed by full-length mouse NLRP3 structure control pathway activation.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34838160	PMC8686192	10.1016/j.cell.2021.11.005	Cell	2021	Deciphering cell signaling networks with massively multiplexed biosensor barcoding.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34793701	PMC8616837	10.1016/j.cell.2021.10.025	Cell	2021	De novo deletions and duplications at recombination hotspots in mouse germlines.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34758294	PMC8620742	10.1016/j.cell.2021.10.016	Cell	2021	RTN4/NoGo-receptor binding to BAI adhesion-GPCRs regulates neuronal development.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34774128	PMC8664161	10.1016/j.cell.2021.10.024	Cell	2021	A single-cell atlas of chromatin accessibility in the human genome.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34739833	PMC9035310	10.1016/j.cell.2021.10.006	Cell	2021	Kr-h1 maintains distinct caste-specific neurotranscriptomes in response to socially regulated hormones.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34822783	PMC8629132	10.1016/j.cell.2021.10.021	Cell	2021	A genetically tractable jellyfish model for systems and evolutionary neuroscience.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34717799	PMC8595755	10.1016/j.cell.2021.10.004	Cell	2021	Enteric pathogens induce tissue tolerance and prevent neuronal loss from subsequent infections.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34741801	PMC8616855	10.1016/j.cell.2021.10.017	Cell	2021	Mammalian hybrid pre-autophagosomal structure HyPAS generates autophagosomes.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34813726	PMC8671326	10.1016/j.cell.2021.10.022	Cell	2021	Xist nucleates local protein gradients to propagate silencing across the X chromosome.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34739832	PMC9115877	10.1016/j.cell.2021.10.014	Cell	2021	RNA promotes the formation of spatial compartments in the nucleus.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34735796	PMC8595767	10.1016/j.cell.2021.10.010	Cell	2021	Z-form extracellular DNA is a structural component of the bacterial biofilm matrix.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34678144	PMC8643277	10.1016/j.cell.2021.09.032	Cell	2021	Phase separation drives RNA virus-induced activation of the NLRP6 inflammasome.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34672952	PMC9074467	10.1016/j.cell.2021.10.002	Cell	2021	Mapping the genetic landscape of DNA double-strand break repair.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34644528	PMC8787082	10.1016/j.cell.2021.09.021	Cell	2021	A mouse-specific retrotransposon drives a conserved Cdk2ap1 isoform essential for development.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34644530	PMC9070634	10.1016/j.cell.2021.09.031	Cell	2021	Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34637702	PMC8556369	10.1016/j.cell.2021.09.026	Cell	2021	Biosensors based on peptide exposure show single molecule conformations in live cells.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34619078	PMC8526400	10.1016/j.cell.2021.09.011	Cell	2021	A selective antibiotic for Lyme disease.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34610277	PMC8556345	10.1016/j.cell.2021.09.013	Cell	2021	Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34624224	PMC8767569	10.1016/j.cell.2021.09.020	Cell	2021	Hallmarks of response, resistance, and toxicity to immune checkpoint blockade.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34637701	PMC8556359	10.1016/j.cell.2021.09.023	Cell	2021	Mechanoreceptor synapses in the brainstem shape the central representation of touch.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34715022	PMC8716180	10.1016/j.cell.2021.09.035	Cell	2021	Pan-ebolavirus protective therapy by two multifunctional human antibodies.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34597582	PMC8929533	10.1016/j.cell.2021.09.008	Cell	2021	RetroCHMP3 blocks budding of enveloped viruses without blocking cytokinesis.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34624222	PMC8650838	10.1016/j.cell.2021.09.019	Cell	2021	Microbiota triggers STING-type I IFN-dependent monocyte reprogramming of the tumor microenvironment.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34582788	PMC9136996	10.1016/j.cell.2021.09.006	Cell	2021	In vivo CRISPR screens identify the E3 ligase Cop1 as a modulator of macrophage infiltration and cancer immunotherapy target.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34715021	PMC8627867	10.1016/j.cell.2021.09.034	Cell	2021	Cytoplasmic DNA: sources, sensing, and role in aging and disease.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34559985	PMC8786218	10.1016/j.cell.2021.09.001	Cell	2021	Lrp1 is a host entry factor for Rift Valley fever virus.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34653367	PMC8655686	10.1016/j.cell.2021.09.028	Cell	2021	Deciphering the cancer microenvironment from bulk data with EcoTyper.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34597583	PMC8526411	10.1016/j.cell.2021.09.014	Cell	2021	Atlas of clinically distinct cell states and ecosystems across human solid tumors.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34551316	PMC8545656	10.1016/j.cell.2021.08.030	Cell	2021	Cellular bases of olfactory circuit assembly revealed by systematic time-lapse imaging.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34559986	PMC8547373	10.1016/j.cell.2021.08.036	Cell	2021	ERα is an RNA-binding protein sustaining tumor cell survival and drug resistance.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34582787	PMC8526404	10.1016/j.cell.2021.09.005	Cell	2021	Revisiting astrocyte to neuron conversion with lineage tracing in vivo.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34562363	PMC8810291	10.1016/j.cell.2021.09.002	Cell	2021	Structural basis and regulation of the reductive stress response.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34520724	PMC8673466	10.1016/j.cell.2021.08.021	Cell	2021	Open-state structure and pore gating mechanism of the cardiac sodium channel.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34534445	PMC8487971	10.1016/j.cell.2021.08.025	Cell	2021	Genome-wide functional screen of 3'UTR variants uncovers causal variants for human disease and evolution.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34534446	PMC8488019	10.1016/j.cell.2021.08.024	Cell	2021	Natural sensory context drives diverse brain-wide activity during C. elegans mating.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34496225	PMC8488022	10.1016/j.cell.2021.08.012	Cell	2021	Structural snapshots of TRPV1 reveal mechanism of polymodal functionality.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34506722	PMC9344975	10.1016/j.cell.2021.08.028	Cell	2021	Directed evolution of a family of AAV capsid variants enabling potent muscle-directed gene delivery across species.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34534465	PMC8654574	10.1016/j.cell.2021.08.023	Cell	2021	Proteogenomic characterization of pancreatic ductal adenocarcinoma.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34478657	PMC8417425	10.1016/j.cell.2021.08.005	Cell	2021	Organs-on-a-chip models for biological research.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34464586	PMC11338632	10.1016/j.cell.2021.08.004	Cell	2021	The immunostimulatory RNA RN7SL1 enables CAR-T cells to enhance autonomous and endogenous immune function.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34534463	PMC8772536	10.1016/j.cell.2021.08.013	Cell	2021	The expanding amyloid family: Structure, stability, function, and pathogenesis.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34450028	PMC8489356	10.1016/j.cell.2021.08.002	Cell	2021	Rescue of a lysosomal storage disorder caused by Grn loss of function with a brain penetrant progranulin biologic.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34534464	PMC8522630	10.1016/j.cell.2021.08.020	Cell	2021	Antigen dominance hierarchies shape TCF1<sup>+</sup> progenitor CD8 T cell phenotypes in tumors.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34450029	PMC8772395	10.1016/j.cell.2021.08.003	Cell	2021	Spatially organized multicellular immune hubs in human colorectal cancer.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34433012	PMC8448984	10.1016/j.cell.2021.07.037	Cell	2021	Parallel pathways for recruiting effector proteins determine centromere drive and suppression.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34411517	PMC8456481	10.1016/j.cell.2021.07.019	Cell	2021	Parallel and distributed encoding of speech across human auditory cortex.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34480864	PMC8373617	10.1016/j.cell.2021.08.017	Cell	2021	The origins of SARS-CoV-2: A critical review.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34390643	PMC8674105	10.1016/j.cell.2021.07.034	Cell	2021	Molecular mechanism of prestin electromotive signal amplification.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34388390	PMC8496133	10.1016/j.cell.2021.07.024	Cell	2021	Developmental and temporal characteristics of clonal sperm mosaicism.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34384544	PMC8380737	10.1016/j.cell.2021.07.021	Cell	2021	Erythroid mitochondrial retention triggers myeloid-dependent type I interferon in human SLE.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34407392	PMC8454863	10.1016/j.cell.2021.07.029	Cell	2021	Dysregulation of ILC3s unleashes progression and immunotherapy resistance in colon cancer.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34363756	PMC8812995	10.1016/j.cell.2021.07.022	Cell	2021	The role of the Cer1 transposon in horizontal transfer of transgenerational memory.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34388391	PMC8557351	10.1016/j.cell.2021.07.020	Cell	2021	Targeting Pin1 renders pancreatic cancer eradicable by synergizing with immunochemotherapy.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34348112	PMC8459666	10.1016/j.cell.2021.07.010	Cell	2021	Hippocampal neurons construct a map of an abstract value space.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34343496	PMC8719451	10.1016/j.cell.2021.07.015	Cell	2021	CXCR6 positions cytotoxic T cells to receive critical survival signals in the tumor microenvironment.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34358469	PMC8475722	10.1016/j.cell.2021.07.016	Cell	2021	A proteogenomic portrait of lung squamous cell carcinoma.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34416146	PMC8382027	10.1016/j.cell.2021.07.006	Cell	2021	Pan-protective anti-alphavirus human antibodies target a conserved E1 protein epitope.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34363755	PMC8380741	10.1016/j.cell.2021.07.026	Cell	2021	Human TBK1 deficiency leads to autoinflammation driven by TNF-induced cell death.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34314702	PMC8380725	10.1016/j.cell.2021.07.005	Cell	2021	Ribosome ADP-ribosylation inhibits translation and maintains proteostasis in cancers.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34416147	PMC8418820	10.1016/j.cell.2021.07.033	Cell	2021	Therapeutic alphavirus cross-reactive E1 human antibodies inhibit viral egress.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34358468	PMC8372535	10.1016/j.cell.2021.07.009	Cell	2021	Basic principles of hydrogel-based tissue transformation technologies and their applications.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
34332650	PMC8299219	10.1016/j.cell.2021.07.025	Cell	2021	Memory B cell repertoire for recognition of evolving SARS-CoV-2 spike.	indexed in Europe PMC but no full-text XML served (abstract/PDF-only deposit)
