pmcid	pmid	doi	journal	year	title	n_oss_packages	packages	pipeline
PMC7796900	33382968	10.1016/j.cell.2020.12.006	Cell	2021	Genome-Scale Identification of SARS-CoV-2 and Pan-coronavirus Host Factor Networks.	4	Cytoscape; R; STRING db; Seurat	differential/statistical testing [R] -> stage not stated [Cytoscape, STRING db, Seurat]
PMC7834972	33577765	10.1016/j.cell.2021.01.035	Cell	2021	Two-component spike nanoparticle vaccine protects macaques from SARS-CoV-2 infection.	3	Canu; ChimeraX; minimap2	stage not stated [Canu, ChimeraX, minimap2]
PMC7836100	33357446	10.1016/j.cell.2020.12.021	Cell	2021	Dynamic 3D proteomes reveal protein functional alterations at high resolution in situ.	10	AutoDock Vina; Bioconductor; NAMD; PyMOL; Python; R; SciPy; limma; pheatmap; seaborn	differential/statistical testing [SciPy, limma] -> stage not stated [AutoDock Vina v1.1.2, Bioconductor, NAMD v2.13, PyMOL v2.4, Python, R, pheatmap, seaborn]
PMC7843029	33621484	10.1016/j.cell.2021.01.037	Cell	2021	Circulating SARS-CoV-2 spike N439K variants maintain fitness while evading antibody-mediated immunity.	16	BWA; ChimeraX; Conda; IQ-TREE; Jupyter; MDAnalysis; MDTraj; NumPy; OpenMM; Pangolin; PyMOL; R; SciPy; brms; minimap2; tidyverse	differential/statistical testing [IQ-TREE, R] -> simulation/modelling [MDTraj, SciPy] -> stage not stated [BWA, ChimeraX, Conda, Jupyter, MDAnalysis, NumPy, OpenMM, Pangolin, PyMOL, brms, minimap2, tidyverse]
PMC7857060	33657410	10.1016/j.cell.2021.01.053	Cell	2021	COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas.	7	R; SCENIC; Scanpy; Seurat; clusterProfiler; kallisto; scDblFinder	normalisation [R] -> dimensionality reduction/clustering [clusterProfiler] -> stage not stated [SCENIC v1.1.2, Scanpy v1.4.6, Seurat v2.3.0, kallisto, scDblFinder]
PMC7864098	33406409	10.1016/j.cell.2020.12.016	Cell	2021	Spatiotemporal analysis of human intestinal development at single-cell resolution.	20	Bioconductor; DESeq2; FastQC; Fiji; Harmony; ImageJ; Monocle; R; SCENIC; STRING db; Scanpy; Seurat; UMAP; WGCNA; clusterProfiler; ggplot2; ggpubr; igraph; pheatmap; velocyto	quality control [FastQC] -> dimensionality reduction/clustering [UMAP, WGCNA v1.69, clusterProfiler v3.16.1, ggplot2 v3.3.2, pheatmap v1.0.12, velocyto] -> differential/statistical testing [DESeq2] -> simulation/modelling [Monocle, velocyto] -> visualisation [STRING db, UMAP, velocyto] -> stage not stated [Bioconductor, Fiji v2.0.0, Harmony v1.0, ImageJ, R, SCENIC, Scanpy, Seurat v3.1.5.9900, ggpubr v0.2.5, igraph v1.2.4.2]
PMC7868890	33497611	10.1016/j.cell.2020.12.024	Cell	2021	G3BPs tether the TSC complex to lysosomes and suppress mTORC1 signaling.	11	BCFtools; BLAST; CellProfiler; Clustal Omega; ImageJ; MACS2; Python; R; RSEM; SAMtools; TrackMate	alignment/mapping [Clustal Omega] -> normalisation [CellProfiler, RSEM] -> visualisation [Clustal Omega] -> stage not stated [BCFtools, BLAST, ImageJ v1.50b, MACS2, Python, R, SAMtools, TrackMate]
PMC7871767	33636127	10.1016/j.cell.2021.02.008	Cell	2021	In vivo structural characterization of the SARS-CoV-2 RNA genome identifies host proteins vulnerable to repurposed drugs.	8	AutoDock Vina; Bowtie2; MAFFT; RAxML; SAMtools; SciPy; Trimmomatic; UCSF Chimera	read trimming [Bowtie2, SAMtools, Trimmomatic] -> alignment/mapping [MAFFT v7.313] -> differential/statistical testing [SciPy] -> simulation/modelling [UCSF Chimera] -> structure determination [UCSF Chimera] -> visualisation [RAxML v8.2.12] -> stage not stated [AutoDock Vina]
PMC7871851	33631096	10.1016/j.cell.2021.02.010	Cell	2021	Seasonal human coronavirus antibodies are boosted upon SARS-CoV-2 infection but not associated with protection.	1	R	stage not stated [R]
PMC7874909	33713619	10.1016/j.cell.2021.02.018	Cell	2021	Time-resolved systems immunology reveals a late juncture linked to fatal COVID-19.	12	ComplexHeatmap; GSEA; GSVA; R; STAR; Seurat; UMAP; edgeR; fgsea; limma; lme4; tidyverse	read trimming [STAR] -> alignment/mapping [STAR] -> variant calling [STAR] -> dimensionality reduction/clustering [UMAP] -> visualisation [UMAP] -> stage not stated [ComplexHeatmap v2.2.0, GSEA, GSVA, R, Seurat, edgeR v3.26.8, fgsea, limma, lme4 v1.1, tidyverse]
PMC7879018	33691139	10.1016/j.cell.2021.02.026	Cell	2021	Human neutralizing antibodies against SARS-CoV-2 require intact Fc effector functions for optimal therapeutic protection.	3	R; edgeR; limma	quality control [edgeR, limma] -> read trimming [R] -> normalisation [R]
PMC7891044	33743891	10.1016/j.cell.2021.02.033	Cell	2021	Reduced neutralization of SARS-CoV-2 B.1.1.7 variant by convalescent and vaccine sera.	2	PHENIX; PyMOL	stage not stated [PHENIX, PyMOL]
PMC7891125	33756110	10.1016/j.cell.2021.02.032	Cell	2021	The antigenic anatomy of SARS-CoV-2 receptor binding domain.	3	PHENIX; PyMOL; RELION	alignment/mapping [RELION v3.1] -> registration [RELION v3.1] -> stage not stated [PHENIX, PyMOL]
PMC7895897	33606979	10.1016/j.cell.2021.01.029	Cell	2021	Massive expansion of human gut bacteriophage diversity.	11	BLAST; BWA; HMMER; Keras; Kraken2; MAFFT; Prokka; Python; SAMtools; SPAdes; TensorFlow	alignment/mapping [BWA v0.7.16a, Kraken2, MAFFT v7.453, SAMtools v1.5] -> machine learning [SPAdes v3.10.0] -> stage not stated [BLAST v2.6.0, HMMER v3.1b, Keras v2.2.4, Prokka v1.5, Python, TensorFlow v1.10.0]
PMC7895898	33571428	10.1016/j.cell.2021.01.025	Cell	2021	Cone-shaped HIV-1 capsids are transported through intact nuclear pores.	2	IMOD; UCSF Chimera	stage not stated [IMOD v4.9.2, UCSF Chimera v1.14]
PMC7895908	33606980	10.1016/j.cell.2021.01.033	Cell	2021	DNA origami signposts for identifying proteins on cell membranes by electron cryotomography.	2	IMOD; UCSF Chimera	stage not stated [IMOD, UCSF Chimera]
PMC7901269	33730597	10.1016/j.cell.2021.02.037	Cell	2021	Evidence of escape of SARS-CoV-2 variant B.1.351 from natural and vaccine-induced sera.	2	Coot; PyMOL	stage not stated [Coot, PyMOL]
PMC7901273	33735608	10.1016/j.cell.2021.02.042	Cell	2021	SARS-CoV-2 501Y.V2 variants lack higher infectivity but do have immune escape.	1	PyMOL	stage not stated [PyMOL]
PMC7901297	33691138	10.1016/j.cell.2021.02.044	Cell	2021	A trans-complementation system for SARS-CoV-2 recapitulates authentic viral replication without virulence.	1	ImageJ	stage not stated [ImageJ]
PMC7901298	33667349	10.1016/j.cell.2021.02.035	Cell	2021	Extremely potent human monoclonal antibodies from COVID-19 convalescent patients.	9	FastQC; Matplotlib; MultiQC; NumPy; Python; RELION; Trimmomatic; UCSF Chimera; seaborn	quality control [FastQC, MultiQC v1.9, Trimmomatic v0.39] -> read trimming [FastQC, MultiQC v1.9, NumPy, Python v3.7.4, Trimmomatic v0.39] -> structure determination [RELION v3.0] -> visualisation [Matplotlib, seaborn] -> stage not stated [UCSF Chimera]
PMC7923941	33713620	10.1016/j.cell.2021.02.053	Cell	2021	Soluble ACE2-mediated cell entry of SARS-CoV-2 via interaction with proteins related to the renin-angiotensin system.	5	Bowtie2; Cutadapt; DESeq2; HTSeq; ggplot2	dimensionality reduction/clustering [ggplot2] -> stage not stated [Bowtie2, Cutadapt, DESeq2, HTSeq]
PMC7933824	33508232	10.1016/j.cell.2021.01.002	Cell	2021	Meta-analysis of tumor- and T cell-intrinsic mechanisms of sensitization to checkpoint inhibition.	14	ANNOVAR; DESeq2; FastQC; GATK; Mutect2; Picard; R; RSEM; SAMtools; STAR; Trim Galore; VarScan; XGBoost; edgeR	quality control [FastQC v0.11.5, STAR, Trim Galore] -> read trimming [Trim Galore] -> alignment/mapping [GATK, Picard v1.81, SAMtools v1.3.1, STAR] -> quantification [DESeq2, RSEM] -> normalisation [DESeq2, RSEM] -> differential/statistical testing [edgeR] -> stage not stated [ANNOVAR, Mutect2 v1.1.7, R, VarScan v2.4.1, XGBoost]
PMC7938888	33606976	10.1016/j.cell.2021.01.034	Cell	2021	Antidepressant drugs act by directly binding to TRKB neurotrophin receptors.	2	GROMACS; ImageJ	stage not stated [GROMACS, ImageJ]
PMC7938889	33636130	10.1016/j.cell.2021.02.002	Cell	2021	Osteoclasts recycle via osteomorphs during RANKL-stimulated bone resorption.	7	Cutadapt; ImageJ; MAGMA; R; RSEM; STAR; ggplot2	alignment/mapping [STAR v2.4.1] -> normalisation [STAR v2.4.1] -> dimensionality reduction/clustering [R] -> differential/statistical testing [RSEM, STAR v2.4.1] -> stage not stated [Cutadapt, ImageJ, MAGMA, ggplot2]
PMC7951565	33743211	10.1016/j.cell.2021.03.012	Cell	2021	Discovery and functional interrogation of SARS-CoV-2 RNA-host protein interactions.	11	Cytoscape; DESeq2; HISAT2; ImageJ; R; Scanpy; UMAP; fastp; featureCounts; pheatmap; scDblFinder	read trimming [HISAT2, fastp] -> alignment/mapping [HISAT2, featureCounts] -> quantification [featureCounts] -> dimensionality reduction/clustering [UMAP] -> differential/statistical testing [Cytoscape v3.8.1, DESeq2 v1.28.1, R v3.6] -> visualisation [pheatmap] -> stage not stated [ImageJ, Scanpy v1.6.0, scDblFinder v0.2.1]
PMC7953441	33743213	10.1016/j.cell.2021.03.013	Cell	2021	Multiple SARS-CoV-2 variants escape neutralization by vaccine-induced humoral immunity.	1	R	stage not stated [R v4.0]
PMC7962543	33811809	10.1016/j.cell.2021.03.026	Cell	2021	BET inhibition blocks inflammation-induced cardiac dysfunction and SARS-CoV-2 infection.	11	Bioconductor; Cutadapt; Enrichr; R; RSEM; SAMtools; STAR; Scanpy; UMAP; edgeR; featureCounts	quality control [Bioconductor, Cutadapt, RSEM, STAR, Scanpy] -> read trimming [R] -> alignment/mapping [Cutadapt, SAMtools, STAR, featureCounts v2.0.1] -> normalisation [R] -> dimensionality reduction/clustering [UMAP] -> differential/statistical testing [R] -> visualisation [UMAP] -> stage not stated [Enrichr, edgeR]
PMC7962548	33831372	10.1016/j.cell.2021.03.027	Cell	2021	SARS-CoV-2 evolution in an immunocompromised host reveals shared neutralization escape mechanisms.	3	MACS2; PHENIX; PyMOL	stage not stated [MACS2, PHENIX v1.18.2, PyMOL]
PMC7962585	33761326	10.1016/j.cell.2021.03.028	Cell	2021	N-terminal domain antigenic mapping reveals a site of vulnerability for SARS-CoV-2.	5	ChimeraX; PHENIX; Pangolin; RELION; UCSF Chimera	structure determination [PHENIX, RELION v3.0] -> visualisation [ChimeraX] -> stage not stated [Pangolin, UCSF Chimera]
PMC7962591	33773105	10.1016/j.cell.2021.03.029	Cell	2021	Neutralizing and protective human monoclonal antibodies recognizing the N-terminal domain of the SARS-CoV-2 spike protein.	1	UCSF Chimera	stage not stated [UCSF Chimera v1.14]
PMC7994111	33571429	10.1016/j.cell.2021.01.050	Cell	2021	Maturation and persistence of the anti-SARS-CoV-2 memory B cell response.	6	Docker; R; Seurat; UMAP; ggplot2; igraph	quality control [Seurat v3.2.2] -> alignment/mapping [R v4.0] -> dimensionality reduction/clustering [UMAP] -> visualisation [UMAP, igraph v1.2.6] -> stage not stated [Docker, ggplot2 v3.3.2]
PMC8008340	33852911	10.1016/j.cell.2021.03.055	Cell	2021	Antibody evasion by the P.1 strain of SARS-CoV-2.	2	PHENIX; PyMOL	stage not stated [PHENIX, PyMOL]
PMC8008343	33836156	10.1016/j.cell.2021.03.051	Cell	2021	TOP1 inhibition therapy protects against SARS-CoV-2-induced lethal inflammation.	19	BEDTools; Bioconductor; Bowtie2; Cutadapt; DESeq2; GSEA; HOMER; MACS2; R; SAMtools; STAR; Seurat; Trim Galore; clusterProfiler; featureCounts; fgsea; limma; scDblFinder; scikit-learn	read trimming [STAR] -> alignment/mapping [Bowtie2 v2.3.4.1, MACS2 v2.1.0, SAMtools v1.8, STAR] -> quantification [Bioconductor] -> dimensionality reduction/clustering [Cutadapt, clusterProfiler, limma, scikit-learn] -> differential/statistical testing [Bioconductor] -> stage not stated [BEDTools, DESeq2, GSEA, HOMER, R, Seurat, Trim Galore v0.4.2, featureCounts, fgsea, scDblFinder]
PMC8009040	33861950	10.1016/j.cell.2021.03.052	Cell	2021	Emergence and rapid transmission of SARS-CoV-2 B.1.1.7 in the United States.	3	BWA; Pangolin; Snakemake	variant calling [Snakemake] -> stage not stated [BWA, Pangolin v2.0]
PMC8018830	33891875	10.1016/j.cell.2021.03.061	Cell	2021	Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States.	9	BEAST; BWA; MAFFT; Nextstrain; Pangolin; SAMtools; TreeTime; Trim Galore; ggplot2	alignment/mapping [BWA, MAFFT, SAMtools] -> normalisation [BEAST v1.10] -> differential/statistical testing [BEAST v1.10] -> structure determination [BEAST v1.10] -> stage not stated [Nextstrain, Pangolin, TreeTime v0.8.0, Trim Galore, ggplot2]
PMC8024902	33761327	10.1016/j.cell.2021.02.040	Cell	2021	Archaeogenomic distinctiveness of the Isthmo-Colombian area.	11	ADMIXTURE; ANGSD; BCFtools; BWA; Cutadapt; FastQC; GATK; PLINK; Picard; SAMtools; VCFtools	quality control [BWA, Cutadapt, FastQC, Picard] -> stage not stated [ADMIXTURE, ANGSD, BCFtools, GATK, PLINK v2.0, SAMtools, VCFtools]
PMC8054911	33765442	10.1016/j.cell.2021.02.047	Cell	2021	The molecular basis for sarcomere organization in vertebrate skeletal muscle.	7	EMAN2; Fiji; IMOD; ImageJ; R; RELION; TrackMate	visualisation [R] -> stage not stated [EMAN2, Fiji, IMOD, ImageJ, RELION, TrackMate]
PMC8054913	33765444	10.1016/j.cell.2021.02.050	Cell	2021	An early cell shape transition drives evolutionary expansion of the human forebrain.	6	Cutadapt; FastQC; HISAT2; HTSeq; R; Trim Galore	quality control [Cutadapt v2.4, FastQC, HISAT2 v2.0.0, HTSeq v0.11.2, Trim Galore] -> stage not stated [R v3.5]
PMC8054914	33831375	10.1016/j.cell.2021.03.009	Cell	2021	Characterizing genetic intra-tumor heterogeneity across 2,658 human cancer genomes.	6	GSEA; IMPUTE2; Mutect2; R; SAMtools; fgsea	quantification [SAMtools] -> stage not stated [GSEA, IMPUTE2, Mutect2, R, fgsea]
PMC8055543	33730596	10.1016/j.cell.2021.02.017	Cell	2021	Rigidity percolation uncovers a structural basis for embryonic tissue phase transitions.	1	Matplotlib	visualisation [Matplotlib]
PMC8057738	33991487	10.1016/j.cell.2021.04.025	Cell	2021	Transmission, infectivity, and neutralization of a spike L452R SARS-CoV-2 variant.	7	BLAST; IQ-TREE; MAFFT; Nextstrain; Python; R; SciPy	alignment/mapping [BLAST, MAFFT, Nextstrain] -> stage not stated [IQ-TREE v1.6, Python v3.7.9, R v4.0, SciPy]
PMC8063088	33740419	10.1016/j.cell.2021.02.045	Cell	2021	Simultaneous binding of Guidance Cues NET1 and RGM blocks extracellular NEO1 signaling.	9	CTFFIND; Clustal Omega; ImageJ; MotionCor2; PHENIX; PyMOL; RELION; UCSF Chimera; UMAP	dimensionality reduction/clustering [UMAP] -> structure determination [MotionCor2] -> stage not stated [CTFFIND v4.1, Clustal Omega, ImageJ, PHENIX, PyMOL, RELION v3.1, UCSF Chimera]
PMC8064868	33974910	10.1016/j.cell.2021.04.033	Cell	2021	Structural insight into SARS-CoV-2 neutralizing antibodies and modulation of syncytia.	4	ChimeraX; PHENIX; RELION; UCSF Chimera	simulation/modelling [PHENIX] -> machine learning [PHENIX] -> stage not stated [ChimeraX v1.1, RELION v3.1, UCSF Chimera]
PMC8096189	34010620	10.1016/j.cell.2021.04.045	Cell	2021	High-resolution profiling of pathways of escape for SARS-CoV-2 spike-binding antibodies.	7	Clustal Omega; Nextflow; R; SAMtools; ggpubr; tidyverse; xarray	stage not stated [Clustal Omega, Nextflow, R v4.0.2, SAMtools, ggpubr, tidyverse, xarray]
PMC8099351	33857425	10.1016/j.cell.2021.03.023	Cell	2021	Glioblastomas acquire myeloid-affiliated transcriptional programs via epigenetic immunoediting to elicit immune evasion.	19	Bismark; Bowtie2; CNVkit; ComplexHeatmap; Cutadapt; DESeq2; Fiji; GATK; GSEA; ImageJ; Mutect2; Python; R; Trim Galore; UMAP; clusterProfiler; freebayes; kallisto; limma	read trimming [Cutadapt] -> alignment/mapping [Cutadapt, GATK] -> variant calling [CNVkit v0.9.6, Mutect2, freebayes v1.1.0.46] -> dimensionality reduction/clustering [ComplexHeatmap v2.4.2, DESeq2 v1.27.32, UMAP, clusterProfiler v3.15.4] -> differential/statistical testing [R v4.0] -> visualisation [UMAP] -> stage not stated [Bismark v0.16.3, Bowtie2 v2.3.5.1, Fiji, GSEA v3.0, ImageJ, Python, Trim Galore v0.5.0, kallisto v0.44.0, limma v3.43.11]
PMC8127962	33848463	10.1016/j.cell.2021.03.031	Cell	2021	Kinase-mediated RAS signaling via membraneless cytoplasmic protein granules.	3	CellProfiler; ChimeraX; ImageJ	visualisation [ChimeraX] -> stage not stated [CellProfiler, ImageJ]
PMC8127963	33930288	10.1016/j.cell.2021.03.039	Cell	2021	The genomic history of the Aegean palatial civilizations.	10	ADMIXTURE; ANGSD; BCFtools; BWA; GATK; PLINK; Picard; R; SAMtools; Snakemake	alignment/mapping [BWA, R] -> variant calling [GATK v3.7] -> stage not stated [ADMIXTURE, ANGSD v0.921, BCFtools v1.4, PLINK v1.9, Picard, SAMtools v1.10, Snakemake v5.3.0]
PMC8135257	34019795	10.1016/j.cell.2021.04.042	Cell	2021	Fab-dimerized glycan-reactive antibodies are a structural category of natural antibodies.	11	ChimeraX; Coot; MotionCor2; PHENIX; PyMOL; R; RELION; Seurat; UCSF Chimera; UMAP; ggplot2	alignment/mapping [MotionCor2] -> dimensionality reduction/clustering [R, Seurat, UMAP] -> structure determination [ChimeraX, Coot, PHENIX] -> visualisation [ChimeraX, R, Seurat, UMAP] -> stage not stated [PyMOL, RELION, UCSF Chimera, ggplot2]
PMC8142856	34143953	10.1016/j.cell.2021.05.033	Cell	2021	Coupling of N7-methyltransferase and 3'-5' exoribonuclease with SARS-CoV-2 polymerase reveals mechanisms for capping and proofreading.	6	Coot; MotionCor2; PHENIX; PyMOL; RELION; UCSF Chimera	structure determination [Coot] -> stage not stated [MotionCor2, PHENIX, PyMOL, RELION v3.0, UCSF Chimera]
PMC8142859	34139176	10.1016/j.cell.2021.05.032	Cell	2021	An infectivity-enhancing site on the SARS-CoV-2 spike protein targeted by antibodies.	1	PyMOL	visualisation [PyMOL]
PMC8142884	34139177	10.1016/j.cell.2021.05.031	Cell	2021	Binding and molecular basis of the bat coronavirus RaTG13 virus to ACE2 in humans and other species.	2	PHENIX; PyMOL	stage not stated [PHENIX, PyMOL]
PMC8162421	33945788	10.1016/j.cell.2021.04.005	Cell	2021	A stony coral cell atlas illuminates the molecular and cellular basis of coral symbiosis, calcification, and immunity.	10	Bowtie2; DIAMOND; HMMER; IQ-TREE; MACS2; MAFFT; R; SAMtools; edgeR; eggNOG	read trimming [IQ-TREE, MAFFT] -> alignment/mapping [Bowtie2, DIAMOND, IQ-TREE, MACS2, MAFFT, edgeR, eggNOG] -> dimensionality reduction/clustering [SAMtools] -> structure determination [IQ-TREE, MAFFT] -> stage not stated [HMMER, R]
PMC8162424	33932341	10.1016/j.cell.2021.04.004	Cell	2021	A single-embryo, single-cell time-resolved model for mouse gastrulation.	1	Bowtie2	alignment/mapping [Bowtie2]
PMC8162515	33964210	10.1016/j.cell.2021.04.013	Cell	2021	Parental genome unification is highly error-prone in mammalian embryos.	5	ImageJ; QuPath; R; StarDist; TrackMate	differential/statistical testing [R] -> machine learning [StarDist] -> stage not stated [ImageJ, QuPath v0.2.3, TrackMate]
PMC8173604	34171305	10.1016/j.cell.2021.05.046	Cell	2021	Profiling SARS-CoV-2 HLA-I peptidome reveals T cell epitopes from out-of-frame ORFs.	4	ImageJ; Python; Scanpy; UMAP	dimensionality reduction/clustering [UMAP] -> stage not stated [ImageJ, Python v3.7.3, Scanpy v1.6.0]
PMC8179113	34161776	10.1016/j.cell.2021.06.002	Cell	2021	The monoclonal antibody combination REGEN-COV protects against SARS-CoV-2 mutational escape in preclinical and human studies.	6	GATK; PHENIX; Picard; PyMOL; SAMtools; minimap2	variant calling [GATK, Picard, SAMtools v1.9] -> stage not stated [PHENIX v1.19.1, PyMOL, minimap2]
PMC8185186	34192529	10.1016/j.cell.2021.06.005	Cell	2021	SARS-CoV-2 mRNA vaccination induces functionally diverse antibodies to NTD, RBD, and S2.	5	PyMOL; R; Seurat; UMAP; igraph	quantification [PyMOL] -> normalisation [igraph v1.2.6] -> dimensionality reduction/clustering [UMAP] -> differential/statistical testing [PyMOL] -> visualisation [PyMOL, UMAP] -> stage not stated [R v4.0.2, Seurat v3.2.2]
PMC8188299	34147139	10.1016/j.cell.2021.06.008	Cell	2021	Identification of novel bat coronaviruses sheds light on the evolutionary origins of SARS-CoV-2 and related viruses.	7	BLAST; Bowtie2; Clustal Omega; MAFFT; PyMOL; RAxML; SAMtools	alignment/mapping [Clustal Omega v1.2.2, MAFFT v7.450] -> stage not stated [BLAST, Bowtie2 v2.4.1, PyMOL v2.4.0a, RAxML, SAMtools v1.10]
PMC8208822	33930289	10.1016/j.cell.2021.03.062	Cell	2021	Splice site m<sup>6</sup>A methylation prevents binding of U2AF35 to inhibit RNA splicing.	5	Bioconductor; Cutadapt; DESeq2; MACS2; R	stage not stated [Bioconductor, Cutadapt, DESeq2, MACS2, R]
PMC8208823	34019796	10.1016/j.cell.2021.04.028	Cell	2021	Charting human development using a multi-endodermal organ atlas and organoid models.	6	CellPhoneDB; R; SCENIC; Seurat; UMAP; igraph	dimensionality reduction/clustering [UMAP] -> visualisation [UMAP] -> stage not stated [CellPhoneDB v2.0, R v3.6.0, SCENIC, Seurat v3.1, igraph]
PMC8218332	34242578	10.1016/j.cell.2021.06.020	Cell	2021	Reduced neutralization of SARS-CoV-2 B.1.617 by vaccine and convalescent serum.	2	PHENIX; PyMOL	stage not stated [PHENIX, PyMOL]
PMC8232969	34242577	10.1016/j.cell.2021.06.021	Cell	2021	In vitro and in vivo functions of SARS-CoV-2 infection-enhancing and neutralizing antibodies.	7	CTFFIND; ChimeraX; Coot; PHENIX; PyMOL; RELION; UCSF Chimera	stage not stated [CTFFIND, ChimeraX, Coot, PHENIX, PyMOL, RELION, UCSF Chimera]
PMC8238498	34043940	10.1016/j.cell.2021.05.002	Cell	2021	A global metagenomic map of urban microbiomes and antimicrobial resistance.	6	BLAST; Bowtie2; Jupyter; R; SciPy; UMAP	read trimming [BLAST, Bowtie2 v2.3.0] -> dimensionality reduction/clustering [R, UMAP] -> structure determination [R] -> visualisation [UMAP] -> stage not stated [Jupyter, SciPy]
PMC8238499	34062119	10.1016/j.cell.2021.04.048	Cell	2021	Integrated analysis of multimodal single-cell data.	6	MACS2; Monocle; R; Seurat; Signac; UMAP	dimensionality reduction/clustering [UMAP] -> simulation/modelling [Monocle] -> visualisation [UMAP] -> stage not stated [MACS2, R, Seurat v3.2.0, Signac v1.0.0]
PMC8238500	34048700	10.1016/j.cell.2021.04.037	Cell	2021	Lipolysis drives expression of the constitutively active receptor GPR3 to induce adipose thermogenesis.	2	DESeq2; HOMER	differential/statistical testing [DESeq2, HOMER]
PMC8240556	34077752	10.1016/j.cell.2021.04.039	Cell	2021	Microbial exposure during early human development primes fetal immune cells.	9	ImageJ; Matplotlib; NumPy; Python; QIIME 2; R; UMAP; pandas; seaborn	alignment/mapping [pandas] -> dimensionality reduction/clustering [QIIME 2 v1.8.0, R v4.4, UMAP] -> stage not stated [ImageJ, Matplotlib v3.2.1, NumPy v1.19.4, Python v2.7.0, seaborn v0.9.0]
PMC8260498	34289344	10.1016/j.cell.2021.07.007	Cell	2021	A selective sweep in the Spike gene has driven SARS-CoV-2 human adaptation.	4	MAFFT; Pangolin; PyMOL; minimap2	alignment/mapping [MAFFT, minimap2] -> stage not stated [Pangolin, PyMOL]
